,Jitter(%),Jitter(Abs),Jitter:RAP,Jitter:PPQ5,Jitter:DDP,Shimmer,Shimmer(dB),Shimmer:APQ3,Shimmer:APQ5,Shimmer:APQ11,Shimmer:DDA,HNR
0,0.0024997589711638906,1.4766615122782524e-05,0.0013181640829187924,0.0012376282842034613,0.003954492248756377,0.016230833581131,0.24965256599834015,0.0060724625512010594,0.008056343549713308,0.01436274316893303,0.01821738765360318,32.60484694880754
1,0.005076387323160532,5.5202596562734803e-05,0.0025599251498766985,0.0034762210898532735,0.007679775449630095,0.17798837838001164,1.5784323786034227,0.0775510586180351,0.1270980548464931,0.14663121313365496,0.2326531758541053,9.848368335888864
2,0.028405080894323764,0.00028862056707700917,0.011368997313795889,0.013444433118866889,0.034106991941387665,0.14241405131791024,1.24824040853694,0.062331545961868795,0.0901797184212144,0.16129683334943287,0.18699463788560639,11.636418376425402
3,0.021087165113321957,0.00012491299414383382,0.009134662166421417,0.010526512999432362,0.02740398649926425,0.10689194054676268,1.075856514106501,0.045113581443615054,0.058599314684203076,0.10979214115020441,0.13534074433084517,8.706582301606115
4,0.024376573910530695,0.00018523105646627998,0.010438420467232947,0.012058880907795565,0.03131526140169884,0.08801189135113646,0.8882882521108101,0.032902722388440955,0.04892170565108519,0.09170231869698645,0.09870816716532287,12.697814391157225
5,0.0117079392428673,7.548152001954784e-05,0.0050194410919695755,0.00632215414385478,0.015058323275908727,0.08973934489683319,0.9028545023591084,0.030873808749269573,0.0484348192202133,0.08705008894910864,0.09262142624780872,17.23576597204002
6,0.02514002445350628,0.00020702653609927271,0.010946954940480605,0.013905418482678395,0.032840864821441815,0.11176477406340408,1.0605801035906843,0.04242245351299854,0.061142158230164466,0.11023736597765842,0.12726736053899562,8.888676038455085
7,0.0022243457744615044,1.358465272705564e-05,0.001048972391851306,0.0011694473877783271,0.0031469171755539177,0.029843250356294263,0.22990375453668105,0.0142362422247028,0.015575629487147481,0.024140464071538383,0.042708726674108397,31.022638181902582
8,0.002832397197624182,2.420106368389411e-05,0.0006890289788763111,0.001011348832082091,0.0020670869366289334,0.019978081480987835,0.20365776905137256,0.008119858300202539,0.012044962277014012,0.019410608578109657,0.024359574900607618,33.674557132485944
9,0.004279491703961342,3.842845959856185e-05,0.0021869959173361885,0.0025382931174927213,0.0065609877520085656,0.022564685183296733,0.20564129639810688,0.010513176684729142,0.013818949502113258,0.022152544881768675,0.03153953005418743,27.506089586154364
10,0.0015370058378787498,1.2446367296700632e-05,0.000579156519180975,0.0007528558556499735,0.0017374695575429248,0.036284211553665915,0.31558355721300957,0.012743958661533243,0.017696579028903193,0.04160394639373931,0.03823187598459973,28.135839779517436
11,0.01356989706261529,0.00013017197197353524,0.007313808060590509,0.006430692155119085,0.021941424181771526,0.06353259525447873,0.5914170700957252,0.0335107053642707,0.038333488576471744,0.04529603822373331,0.1005321160928121,21.18797191895906
12,0.03615354794852997,0.0003109729115836687,0.01787834563749616,0.018636500430383895,0.053635036912488485,0.11076708689715536,1.0492636336149648,0.0478347811504986,0.06266121486659405,0.10985917097061627,0.1435043434514958,8.403389067081635
13,0.007294159357065951,4.301766599165986e-05,0.0036171462491636037,0.0031248140578257278,0.01085143874749081,0.07287584797737368,0.8880925895070421,0.03039110773101706,0.04055364022770212,0.06365180671615886,0.09117332319305119,14.702731386181904
